,Nr źródła,C [%],Si [%],S [%],P [%],Mg [%],Mn [%],Ni [%],Cu [%],Mo [%],Cr [%],Al [%],Sn [%],B [%],V [%],Wydzielenia grafitu [mm-2],Udział wydzieleń grafitu [%],Średnica sferoidów [μm],Wielkość sferoidów,Nodularity [%],Udział perlitu [%],Udział ferrytu [%],Rm [MPa] (as cast),A5 [%]     (as cast),Minimalna grubość ścianki [mm],Temperatura austenityzacji [˚C],Czas austenityzacji [min.],Temperatura przemiany izotermicznej [˚C],Czas przemiany izotermicznej [min.],Rm [MPa],"R0,2 [MPa]",A5 [%],Twardość Brinella [HB],Twardość Rockwella [HRC],Twardość Rockwella [HRA],Twardość Rockwella [HRB],Twardość Vickersa [HV],Udarność Charpy [J],Temperatura pomiaru udarności [˚C],Udział austenitu %,Martensite volume fraction Xα'
1220,132,3.5,2.5,0.0,0.0,0.75,0.25,0.9,1.5,0.4,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,900.0,120.0,320.0,120.0,510.0,,,,32.0,,,,,,,
1221,132,3.5,2.5,0.0,0.0,0.75,0.25,0.9,1.5,0.4,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,900.0,120.0,350.0,120.0,500.0,,,,41.5,,,,,,,
1222,132,3.5,2.5,0.0,0.0,0.75,0.25,0.9,1.5,0.4,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,940.0,120.0,270.0,120.0,560.0,,,,40.0,,,,,,,
1223,132,3.5,2.5,0.0,0.0,0.75,0.25,0.9,1.5,0.4,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,940.0,120.0,290.0,120.0,500.0,,,,34.5,,,,,,,
1224,132,3.5,2.5,0.0,0.0,0.75,0.25,0.9,1.5,0.4,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,940.0,120.0,320.0,120.0,650.0,,,,41.0,,,,,,,
1225,132,3.5,2.5,0.0,0.0,0.75,0.25,0.9,1.5,0.4,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,940.0,120.0,350.0,120.0,500.0,,,,41.0,,,,,,,
1226,132,3.5,2.5,0.0,0.0,0.73,0.25,0.9,0.8,0.4,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,900.0,120.0,270.0,120.0,725.0,,,,47.5,,,,,,,
1227,132,3.5,2.5,0.0,0.0,0.73,0.25,0.9,0.8,0.4,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,900.0,120.0,290.0,120.0,745.0,,,,44.5,,,,,,,
1228,132,3.5,2.5,0.0,0.0,0.73,0.25,0.9,0.8,0.4,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,900.0,120.0,320.0,120.0,780.0,,,,41.0,,,,,,,
1229,132,3.5,2.5,0.0,0.0,0.73,0.25,0.9,0.8,0.4,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,900.0,120.0,350.0,120.0,750.0,,,,36.5,,,,,,,
1230,132,3.5,2.5,0.0,0.0,0.73,0.25,0.9,0.8,0.4,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,940.0,120.0,270.0,120.0,670.0,,,,47.5,,,,,,,
1231,132,3.5,2.5,0.0,0.0,0.73,0.25,0.9,0.8,0.4,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,940.0,120.0,290.0,120.0,790.0,,,,41.0,,,,,,,
1232,132,3.5,2.5,0.0,0.0,0.73,0.25,0.9,0.8,0.4,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,940.0,120.0,320.0,120.0,750.0,,,,43.0,,,,,,,
1233,132,3.5,2.5,0.0,0.0,0.73,0.25,0.9,0.8,0.4,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,940.0,120.0,350.0,120.0,650.0,,,,41.0,,,,,,,
1234,133,3.45,2.48,0.012,0.013,0.05,0.4,1.5,0.3,0.5,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,927.0,120.0,260.0,120.0,1446.4,1126.2,2.6,,46.9,,,,,,11.5,
1235,133,3.45,2.48,0.012,0.013,0.05,0.4,1.5,0.3,0.5,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,927.0,120.0,316.0,120.0,1264.1,1031.3,4.4,,41.2,,,,,,20.0,
1236,133,3.45,2.48,0.012,0.013,0.05,0.4,1.5,0.3,0.5,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,927.0,120.0,385.0,120.0,1061.2,776.1,13.7,,30.1,,,,,,37.0,
1237,134,3.66,2.23,0.015,0.024,0.047,0.26,1.02,0.66,0.26,0.0,0.0,0.0,0.0,0.0,155.0,7.6,,6 i 7,95.0,75.4,24.6,,,,870.0,120.0,315.0,5.0,,,,,,,,,,,,55.0
1238,134,3.66,2.23,0.015,0.024,0.047,0.26,1.02,0.66,0.26,0.0,0.0,0.0,0.0,0.0,155.0,7.6,,6 i 7,95.0,75.4,24.6,,,,870.0,120.0,315.0,15.0,,,,,,,,,,,,16.0
1239,134,3.66,2.23,0.015,0.024,0.047,0.26,1.02,0.66,0.26,0.0,0.0,0.0,0.0,0.0,155.0,7.6,,6 i 7,95.0,75.4,24.6,,,,870.0,120.0,315.0,30.0,,,,,,,,,,,,7.0
1240,134,3.66,2.23,0.015,0.024,0.047,0.26,1.02,0.66,0.26,0.0,0.0,0.0,0.0,0.0,155.0,7.6,,6 i 7,95.0,75.4,24.6,,,,870.0,120.0,315.0,60.0,,,,,,,,,,,,3.0
1241,134,3.66,2.23,0.015,0.024,0.047,0.26,1.02,0.66,0.26,0.0,0.0,0.0,0.0,0.0,155.0,7.6,,6 i 7,95.0,75.4,24.6,,,,870.0,120.0,315.0,90.0,,,,,,,,,,,,0.0
1242,134,3.66,2.23,0.015,0.024,0.047,0.26,1.02,0.66,0.26,0.0,0.0,0.0,0.0,0.0,155.0,7.6,,6 i 7,95.0,75.4,24.6,,,,870.0,120.0,315.0,120.0,,,,,,,,,,,,0.0
1243,134,3.66,2.23,0.015,0.024,0.047,0.26,1.02,0.66,0.26,0.0,0.0,0.0,0.0,0.0,155.0,7.6,,6 i 7,95.0,75.4,24.6,,,,870.0,120.0,315.0,240.0,,,,,,,,,,,,0.0
1244,134,3.66,2.23,0.015,0.024,0.047,0.26,1.02,0.66,0.26,0.0,0.0,0.0,0.0,0.0,155.0,7.6,,6 i 7,95.0,75.4,24.6,,,,870.0,120.0,370.0,5.0,,,,,,,,,,,,64.0
1245,134,3.66,2.23,0.015,0.024,0.047,0.26,1.02,0.66,0.26,0.0,0.0,0.0,0.0,0.0,155.0,7.6,,6 i 7,95.0,75.4,24.6,,,,870.0,120.0,370.0,15.0,,,,,,,,,,,,15.0
1246,134,3.66,2.23,0.015,0.024,0.047,0.26,1.02,0.66,0.26,0.0,0.0,0.0,0.0,0.0,155.0,7.6,,6 i 7,95.0,75.4,24.6,,,,870.0,120.0,370.0,30.0,,,,,,,,,,,,6.0
1247,134,3.66,2.23,0.015,0.024,0.047,0.26,1.02,0.66,0.26,0.0,0.0,0.0,0.0,0.0,155.0,7.6,,6 i 7,95.0,75.4,24.6,,,,870.0,120.0,370.0,60.0,,,,,,,,,,,,0.0
1248,134,3.66,2.23,0.015,0.024,0.047,0.26,1.02,0.66,0.26,0.0,0.0,0.0,0.0,0.0,155.0,7.6,,6 i 7,95.0,75.4,24.6,,,,870.0,120.0,370.0,90.0,,,,,,,,,,,,0.0
1249,134,3.66,2.23,0.015,0.024,0.047,0.26,1.02,0.66,0.26,0.0,0.0,0.0,0.0,0.0,155.0,7.6,,6 i 7,95.0,75.4,24.6,,,,870.0,120.0,370.0,120.0,,,,,,,,,,,,0.0
1250,134,3.66,2.23,0.015,0.024,0.047,0.26,1.02,0.66,0.26,0.0,0.0,0.0,0.0,0.0,155.0,7.6,,6 i 7,95.0,75.4,24.6,,,,870.0,120.0,370.0,240.0,,,,,,,,,,,,0.0
1251,135,3.73,2.55,0.023,0.045,0.044,0.3,1.25,1.03,0.18,0.032,0.0,0.0,0.0,0.0,100.6,8.8,34.0,,95.2,,,,,,900.0,60.0,300.0,60.0,1000.0,730.0,12.0,277.0,,,,,47.0,-60.0,,
1252,135,3.73,2.55,0.023,0.045,0.044,0.3,1.25,1.03,0.18,0.032,0.0,0.0,0.0,0.0,100.6,8.8,34.0,,95.2,,,,,,900.0,60.0,300.0,60.0,1000.0,730.0,12.0,277.0,,,,,48.0,-60.0,,
1253,135,3.73,2.55,0.023,0.045,0.044,0.3,1.25,1.03,0.18,0.032,0.0,0.0,0.0,0.0,100.6,8.8,34.0,,95.2,,,,,,900.0,60.0,300.0,60.0,1000.0,730.0,12.0,277.0,,,,,49.0,-60.0,,
1254,135,3.73,2.55,0.023,0.045,0.044,0.3,1.25,1.03,0.18,0.032,0.0,0.0,0.0,0.0,100.6,8.8,34.0,,95.2,,,,,,900.0,60.0,300.0,60.0,1000.0,730.0,12.0,277.0,,,,,42.0,-40.0,,
1255,135,3.73,2.55,0.023,0.045,0.044,0.3,1.25,1.03,0.18,0.032,0.0,0.0,0.0,0.0,100.6,8.8,34.0,,95.2,,,,,,900.0,60.0,300.0,60.0,1000.0,730.0,12.0,277.0,,,,,58.0,-40.0,,
