Lp,[LABELS],[wegiel],[mangan],[krzem],[fosfor],[siarka],[chrom],[nikiel],[miedz],[magnez],[wytrzym],[wydluz],[tward]
388,"[1144,2]",3.69,0.32,2.21,0.04,0.02,0.06,0.03,0.18,0.05,565,15,192
389,"[1145,1]",3.66,0.35,2.14,0.04,0.02,0.05,0.03,0.16,0.045,568,13.6,197
390,"[1145,2]",3.65,0.35,2.15,0.04,0.02,0.04,0.03,0.16,0.052,568,13.6,197
391,"[1146,1]",3.64,0.3,2.21,0.04,0.02,0.05,0.03,0.19,0.043,535,13.6,192
392,"[1146,2]",3.67,0.3,2.2,0.04,0.02,0.05,0.03,0.19,0.039,535,13.6,192
393,"[1147,1]",3.68,0.32,2.14,0.04,0.02,0.06,0.03,0.4,0.042,650,10,212
394,"[1147,2]",3.69,0.33,2.15,0.04,0.02,0.06,0.04,0.41,0.045,650,10,212
395,"[1148,1]",3.67,0.32,2.35,0.04,0.02,0.06,0.04,0.42,0.054,701,10,235
396,"[1148,2]",3.71,0.33,2.36,0.04,0.02,0.06,0.04,0.42,0.055,701,10,235
397,"[1149,1]",3.69,0.28,2.17,0.04,0.02,0.05,0.03,0.39,0.054,662,11.4,229
398,"[1149,2]",3.64,0.28,2.18,0.04,0.02,0.05,0.03,0.4,0.048,662,11.4,229
399,"[1150,1]",3.72,0.26,2.19,0.04,0.02,0.05,0.03,0.47,0.048,662,10.7,217
400,"[1151,1]",3.75,0.34,2.06,0.04,0.01,0.03,0.02,0.16,0.048,510,17.1,163
401,"[1151,2]",3.77,0.34,2.1,0.04,0.01,0.03,0.02,0.17,0.047,510,17.1,163
402,"[1152,1]",3.65,0.34,2.21,0.04,0.02,0.04,0.03,0.18,0.053,510,17.5,174
403,"[1152,2]",3.68,0.34,2.23,0.04,0.02,0.04,0.03,0.18,0.054,510,17.5,174
404,"[1153,1]",3.69,0.33,2.2,0.04,0.02,0.04,0.02,0.18,0.041,523,15.7,183
405,"[1153,2]",3.65,0.34,2.2,0.04,0.02,0.04,0.02,0.18,0.043,523,15.7,183
406,"[1154,1]",3.64,0.32,2.06,0.04,0.02,0.04,0.03,0.18,0.046,523,17.1,179
407,"[1154,2]",3.64,0.33,2.05,0.04,0.02,0.04,0.03,0.17,0.044,523,17.1,179
408,"[1155,1]",3.62,0.35,2.34,0.04,0.01,0.04,0.03,0.2,0.046,552,14.3,201
409,"[1155,2]",3.62,0.33,2.3,0.04,0.01,0.04,0.02,0.19,0.03,552,14.3,201
410,"[1156,1]",3.72,0.36,2.25,0.04,0.01,0.07,0.03,0.17,0.044,535,14.3,187
411,"[1156,2]",3.71,0.37,2.25,0.04,0.01,0.08,0.03,0.17,0.04,535,14.3,187
412,"[1157,1]",3.75,0.13,2.61,0.05,0.01,0.02,0.01,0.05,0.042,446,22.8,156
413,"[1157,2]",3.67,0.13,2.6,0.05,0.01,0.02,0.01,0.05,0.038,446,22.8,156
414,"[1158,1]",3.76,0.17,2.52,0.05,0.01,0.03,0.01,0.08,0.035,446,22.8,156
415,"[1158,2]",3.78,0.17,2.49,0.05,0.01,0.03,0.01,0.08,0.034,446,22.8,156
416,"[1159,1]",3.8,0.13,2.43,0.05,0.01,0.02,0.01,0.05,0.035,446,22.8,156
417,"[1159,2]",3.82,0.13,2.37,0.05,0.01,0.02,0.01,0.05,0.037,446,22.8,156
418,"[1160,1]",3.78,0.11,2.37,0.05,0.01,0.02,0.01,0.04,0.036,446,22.1,156
419,"[1160,2]",3.79,0.11,2.36,0.05,0.01,0.02,0.01,0.04,0.035,446,22.1,156
420,"[1161,1]",3.69,0.33,2.12,0.04,0.01,0.05,0.02,0.24,0.049,643,9.3,235
421,"[1162,1]",3.6,0.32,2.23,0.04,0.01,0.04,0.02,0.19,0.046,523,15.7,179
422,"[1162,2]",3.64,0.33,2.26,0.04,0.01,0.04,0.02,0.2,0.038,523,15.7,179
423,"[1163,1]",3.5,0.27,2.33,0.05,0.01,0.05,0.03,0.46,0.043,552,12.8,197
424,"[1164,1]",3.65,0.36,2.19,0.05,0.01,0.05,0.02,0.2,0.04,555,14.3,197
425,"[1164,2]",3.7,0.37,2.23,0.05,0.01,0.05,0.02,0.2,0.04,555,14.3,197
426,"[1165,1]",3.76,0.35,2.33,0.04,0.01,0.05,0.03,0.19,0.042,535,14.3,187
427,"[1166,1]",3.58,0.35,2.35,0.05,0.01,0.06,0.03,0.2,0.041,529,14.3,192
428,"[1166,2]",3.6,0.35,2.37,0.05,0.01,0.06,0.03,0.2,0.041,529,14.3,192
429,"[1167,1]",3.66,0.31,2.42,0.04,0.01,0.04,0.02,0.22,0.036,504,12.8,167
430,"[1167,2]",3.67,0.31,2.44,0.04,0.01,0.04,0.02,0.22,0.032,504,12.8,167
431,"[1168,1]",3.72,0.16,2.5,0.05,0.01,0.03,0.01,0.08,0.04,449,20,156
432,"[1168,2]",3.74,0.16,2.46,0.05,0.01,0.03,0.01,0.08,0.039,449,20,156
433,"[1169,1]",3.7,0.15,2.45,0.05,0.01,0.02,0.01,0.07,0.045,446,16.9,159
434,"[1169,2]",3.76,0.15,2.44,0.05,0.01,0.02,0.01,0.07,0.042,446,16.9,159
435,"[1170,1]",3.83,0.16,2.64,0.05,0.01,0.03,0.01,0.08,0.038,446,21.4,163
436,"[1170,2]",3.8,0.16,2.56,0.05,0.01,0.03,0.01,0.08,0.034,446,21.4,163
437,"[1171,1]",3.7,0.34,2.51,0.05,0.01,0.03,0.01,0.26,0.057,510,17.1,179
438,"[1171,2]",3.72,0.33,2.51,0.05,0.01,0.03,0.01,0.26,0.057,510,17.1,179
439,"[1172,1]",3.64,0.31,2.2,0.04,0.01,0.04,0.02,0.2,0.04,504,17.1,179
440,"[1172,2]",3.68,0.31,2.22,0.04,0.01,0.04,0.02,0.2,0.044,504,17.1,179
441,"[1173,1]",3.69,0.16,2.81,0.05,0.01,0.03,0.01,0.09,0.03,462,21.4,163
442,"[1173,2]",3.7,0.16,2.61,0.05,0.01,0.03,0.01,0.09,0.029,462,21.4,163
443,"[1174,1]",3.53,0.16,2.44,0.05,0.01,0.03,0.01,0.09,0.038,446,21.4,163
444,"[1174,2]",3.78,0.17,2.51,0.05,0.01,0.03,0.01,0.1,0.039,446,21.4,163
445,"[1175,1]",3.85,0.17,2.49,0.05,0.01,0.03,0.01,0.07,0.042,439,21.4,156
446,"[1176,1]",3.76,0.19,2.67,0.04,0.01,0.03,0.02,0.1,0.035,471,21.4,156
447,"[1176,2]",3.77,0.2,2.7,0.04,0.01,0.03,0.02,0.11,0.034,471,21.4,156
448,"[1177,1]",3.73,0.16,2.37,0.05,0.01,0.03,0.01,0.09,0.039,452,20,159
449,"[1178,1]",3.71,0.16,2.51,0.05,0.01,0.03,0.01,0.11,0.037,439,21.4,156
450,"[1179,1]",3.75,0.18,2.44,0.05,0.01,0.03,0.01,0.09,0.038,471,21.4,156
451,"[1179,2]",3.77,0.16,2.53,0.05,0.01,0.03,0.01,0.1,0.038,471,21.4,156
452,"[1180,1]",3.76,0.12,2.42,0.05,0.01,0.02,0.01,0.07,0.039,439,20.7,156
453,"[1181,1]",3.8,0.13,2.38,0.05,0.01,0.02,0.01,0.06,0.039,452,22.8,156
454,"[1181,2]",3.86,0.13,2.33,0.05,0.01,0.02,0.01,0.05,0.035,452,22.8,156
455,"[1182,1]",3.72,0.34,2.21,0.05,0.01,0.03,0.02,0.19,0.047,562,14.3,197
456,"[1182,2]",3.75,0.34,2.19,0.05,0.01,0.03,0.02,0.19,0.044,562,14.3,197
457,"[1183,1]",3.7,0.29,2.36,0.04,0.01,0.05,0.03,0.19,0.047,538,18.7,175
458,"[1183,2]",3.69,0.29,2.41,0.04,0.01,0.05,0.03,0.19,0.046,538,18.7,175
459,"[1184,1]",3.8,0.13,2.58,0.05,0.01,0.02,0.01,0.05,0.035,439,24.3,156
460,"[1184,2]",3.81,0.12,2.53,0.05,0.01,0.02,0.01,0.06,0.035,439,24.3,156
461,"[1185,1]",3.83,0.13,2.6,0.05,0.01,0.02,0.01,0.06,0.033,497,17.1,167
462,"[1185,2]",3.78,0.12,2.6,0.05,0.01,0.02,0.01,0.05,0.036,497,17.1,167
463,"[1186,1]",3.66,0.3,2.35,0.04,0.02,0.05,0.05,0.2,0.041,602,11.4,201
464,"[1186,2]",3.68,0.3,2.3,0.04,0.02,0.05,0.05,0.19,0.042,602,11.4,201
465,"[1187,1]",3.56,0.35,2.14,0.05,0.02,0.06,0.04,0.21,0.037,602,11.4,207
466,"[1188,1]",3.64,0.37,2.24,0.05,0.01,0.06,0.04,0.21,0.045,586,12.8,207
467,"[1188,2]",3.69,0.38,2.27,0.05,0.02,0.06,0.04,0.22,0.039,586,12.8,207
468,"[1189,1]",3.64,0.32,2.24,0.05,0.01,0.07,0.03,0.21,0.043,513,12.1,197
469,"[1189,2]",3.67,0.32,2.25,0.05,0.01,0.07,0.03,0.21,0.038,513,12.1,197
470,"[1190,1]",3.69,0.36,2.38,0.04,0.01,0.05,0.03,0.19,0.038,624,12.1,217
471,"[1190,2]",3.64,0.36,2.38,0.04,0.01,0.05,0.03,0.19,0.028,624,12.1,217
472,"[1191,1]",3.67,0.34,2.24,0.04,0.01,0.04,0.02,0.21,0.05,562,14.3,197
473,"[1192,1]",3.64,0.35,2.4,0.05,0.01,0.05,0.02,0.24,0.049,562,14.3,201
474,"[1192,2]",3.57,0.34,2.32,0.05,0.01,0.04,0.02,0.24,0.048,562,14.3,201
475,"[1193,1]",3.69,0.35,2.28,0.05,0.01,0.04,0.02,0.22,0.041,555,12.8,192
476,"[1194,1]",3.6,0.34,2.25,0.04,0.01,0.04,0.02,0.22,0.049,562,14.3,197
477,"[1195,1]",3.63,0.35,2.23,0.04,0.01,0.04,0.02,0.21,0.047,586,15,197
478,"[1196,1]",3.62,0.36,2.25,0.05,0.01,0.06,0.03,0.22,0.044,586,14.3,229
479,"[1197,1]",3.72,0.15,2.53,0.05,0.01,0.03,0.01,0.06,0.041,452,21.4,163
480,"[1197,2]",3.81,0.15,2.57,0.05,0.01,0.03,0.01,0.06,0.042,452,21.4,163
481,"[1198,1]",3.76,0.15,2.52,0.05,0.01,0.02,0.01,0.09,0.036,446,20,163
482,"[1198,2]",3.79,0.15,2.56,0.05,0.01,0.02,0.01,0.1,0.035,446,20,163
483,"[1199,1]",3.79,0.15,2.74,0.05,0.01,0.03,0.01,0.08,0.038,452,20,163
484,"[1199,2]",3.75,0.16,2.68,0.05,0.01,0.03,0.01,0.09,0.035,452,20,163
485,"[1200,1]",3.84,0.15,2.52,0.05,0.01,0.03,0.01,0.09,0.035,459,20,156
486,"[1200,2]",3.8,0.15,2.6,0.05,0.01,0.03,0.01,0.09,0.037,459,20,156
487,"[1201,1]",3.7,0.32,2.2,0.04,0.01,0.04,0.02,0.21,0.047,682,10,223
488,"[1201,2]",3.7,0.32,2.19,0.04,0.01,0.04,0.02,0.21,0.049,682,10,223
489,"[1202,1]",3.57,0.34,2.22,0.04,0.01,0.05,0.02,0.2,0.049,605,11.4,207
490,"[1202,2]",3.63,0.35,2.38,0.04,0.01,0.06,0.03,0.21,0.048,605,11.4,207
491,"[1203,1]",3.58,0.32,2.33,0.04,0.01,0.06,0.03,0.23,0.048,701,9.3,229
492,"[1203,2]",3.54,0.31,2.27,0.04,0.01,0.06,0.03,0.22,0.043,701,9.3,229
493,"[1204,1]",3.67,0.3,2.14,0.04,0.01,0.05,0.02,0.21,0.039,662,11.4,217
494,"[1204,2]",3.7,0.31,2.19,0.04,0.01,0.05,0.02,0.21,0.04,662,11.4,217
495,"[1205,1]",3.6,0.29,2.4,0.04,0.01,0.05,0.03,0.23,0.039,573,15.7,201
496,"[1205,2]",3.6,0.3,2.52,0.04,0.01,0.05,0.03,0.24,0.038,573,15.7,201
497,"[1206,1]",3.68,0.32,2.2,0.05,0.01,0.06,0.03,0.22,0.035,568,14.3,197
498,"[1206,2]",3.7,0.33,2.2,0.05,0.01,0.06,0.03,0.22,0.036,568,14.3,197
499,"[1207,1]",3.75,0.31,2.22,0.04,0.01,0.05,0.03,0.21,0.04,605,13.6,217
500,"[1207,2]",3.74,0.31,2.23,0.04,0.01,0.05,0.03,0.2,0.041,605,13.6,217
501,"[1208,1]",3.65,0.35,2.35,0.05,0.01,0.05,0.03,0.22,0.046,624,12.8,229
502,"[1208,2]",3.68,0.35,2.31,0.05,0.01,0.05,0.03,0.22,0.049,624,12.8,229
503,"[1209,1]",3.64,0.35,2.33,0.05,0.01,0.06,0.03,0.23,0.038,618,10.7,223
504,"[1209,2]",3.66,0.35,2.33,0.05,0.01,0.06,0.03,0.23,0.038,618,10.7,223
505,"[1210,1]",3.87,0.16,2.53,0.05,0.01,0.03,0.01,0.08,0.035,459,21.4,163
506,"[1210,2]",3.84,0.16,2.51,0.05,0.01,0.03,0.01,0.08,0.035,459,21.4,163
